PM10,SO2,NO2,CO,TEMP,PRES,DEWP,RAIN,WSPM,O3,PM2.5
60,36,73,1399,-3.8,1016.5,-12.2,0,1.4,7,50
62,37,75,1500,-3.8,1015.1,-12.7,0,0.8,7,60
63,41,74,1600,-4,1014.1,-13.4,0,0.7,7,60
66,31,69,1200,-4.8,1013.6,-13.2,0,0.2,6,64
58,34,71,1300,-5.6,1013.2,-13,0,0.5,6,56
59,24,68,1399,-5.7,1013.2,-13.1,0,0,6,53
62,25,68,1700,-3.3,1013.5,-12.8,0,0.8,6,52
75,51,71,2399,-0.3,1012.8,-11.4,0,0.5,12,58
106,69,72,2000,3.4,1012.5,-12.6,0,0.8,15,81
101,78,84,2200,6.5,1011.4,-12.2,0,2.1,17,84
148,91,93,1899,9,1010.4,-11.6,0,1.4,20,106
135,78,89,1800,12.2,1009.1,-13.7,0,1.8,24,110
151,64,80,1500,15.6,1007.5,-13.8,0,5.4,30,113
151,36,53,1000,16.6,1006.9,-14.1,0,5.3,52,100
128,14,20,400,17,1006.8,-14.9,0,2.3,78,68
90,10,16,400,16.1,1006.9,-14.4,0,0.7,82,32
71,27,21,400,13.9,1007.6,-14.1,0,0.6,76,21
33,17,22,400,12.4,1009,-14.4,0,0.8,72,16
43,12,35,600,8.9,1010,-13.5,0,0.9,59,18
56,27,46,800,7.7,1010.1,-12.2,0,0.5,45,24
55,27,42,700,6.9,1010.6,-12.3,0,0.7,47,29
46,25,69,1300,6.8,1011.2,-11.9,0,1.5,19,23
78,14,24,700,8.6,1012.1,-11.4,0,2,52,30
42,30,22,400,9.2,1013.2,-12.6,0,2.4,57,25
38,24,13,300,7.3,1014.2,-12.5,0,2.1,72,16
31,29,14,300,6.1,1014.4,-13.5,0,1.4,74,8
20,4,10,400,6.6,1014.2,-14.8,0,4,76,6
13,3,10,300,4.8,1014.6,-12.2,0,2.6,80,7
14,31,46,600,5.4,1015.4,-12.1,0,4.7,38,3
24,43,43,500,4.2,1016.1,-12.3,0,3,39,10
28,38,38,700,6.3,1016.8,-12.3,0,0.8,42,12
32,29,34,700,8.9,1017.4,-12.9,0,1.6,48,12
29,21,19,500,10.2,1017.6,-13.8,0,3.8,65,16
23,16,12,400,11.4,1017.1,-14.4,0,4.2,76,14
16,7,11,400,12.7,1016.6,-15.1,0,4.4,80,7
22,6,9,400,14.6,1015.4,-14.6,0,3.5,85,8
16,7,9,400,15.1,1014.2,-15.2,0,3.4,89,14
13,14,11,400,16.1,1013.1,-16.9,0,3,91,11
24,11,10,400,16.1,1012.5,-16.9,0,2.3,95,21
17,10,12,400,14.8,1012,-14.4,0,3.3,92,10
15,8,21,400,12.9,1012.4,-14,0,2.6,86,13
29,14,40,500,11.3,1012.7,-13.7,0,1.2,81,17
54,39,63,700,8.7,1013.2,-12.5,0,0.5,57,32
71,66,91,1100,5.9,1013.4,-11.7,0,0.2,25,43
99,41,88,1500,4.9,1013.4,-11.7,0,0.8,18,64
123,25,57,1100,4,1013.2,-11.6,0,0.6,34,76
75,21,43,1200,4.2,1012.6,-11.5,0,0.8,95,54
69,20,37,900,2.8,1012.1,-11.2,0,0.4,95,57
57,38,66,1600,1.8,1011.7,-11,0,0.6,95,48
99,32,54,1399,0.8,1011.4,-10.7,0,0.6,95,65
75,20,36,1100,0.2,1011,-10.4,0,0.2,95,60
54,40,75,2299,-0.1,1010.7,-10.1,0,0.8,95,46
113,33,61,1600,-0.4,1010.9,-9.6,0,0,95,72
78,31,53,1100,-1,1010.6,-9.4,0,0.8,95,56
66,34,69,2000,1.2,1010.4,-9.4,0,0,95,51
105,40,66,1600,6,1010.1,-10.7,0,0.8,95,68
92,64,75,1899,7.8,1009.5,-10.6,0,1,95,68
117,81,92,2000,9.3,1008.7,-9.3,0,1.4,95,87
160,66,80,1500,11,1007.8,-9.4,0,1.9,95,107
139,52,65,1399,12.1,1006.5,-9,0,0.4,55,109
133,56,55,1300,13.2,1005.1,-8.1,0,0.9,95,118
127,57,60,1300,14.1,1004.3,-8.6,0,1.7,95,126
129,62,76,1500,13.5,1004.1,-8.4,0,0.8,92,124
153,59,81,1500,13.3,1003.9,-8,0,1.1,86,149
158,74,104,1600,12.4,1004.5,-8.2,0,1,81,151
168,64,106,1700,8.9,1005,-7.8,0,0.8,81,158
172,69,123,1899,7.7,1005.4,-7.6,0,0.2,81,161
187,68,127,2299,6.3,1005.9,-7.3,0,0.7,81,173
210,55,94,2100,5.6,1006,-7.3,0,0.2,81,191
183,52,78,1899,4.9,1005.8,-7,0,1.7,81,181
160,50,74,1899,3.7,1005.7,-6.9,0,0.4,81,141
154,65,115,2700,3.9,1005.4,-6.7,0,2,81,152
195,52,72,2000,3.9,1005.3,-6.4,0,0.8,81,180
153,NA,100,2399,3.5,1004.8,-6.5,0,0.7,81,146
179,55,74,NA,3.7,1004.7,-6.3,0,1.3,81,170
155,59,NA,2500,2.4,1004.7,-6.2,0,1,81,149
202,79,101,2500,2.1,1004.9,-5.8,0,0.9,81,182
187,86,94,2399,3.1,1005.1,-5.6,0,0.2,81,182
190,82,93,2700,4.7,1006.2,-4.9,0,0.6,81,187
200,86,85,2299,5.5,1006.2,-4.1,0,0.5,81,195
200,81,86,2799,7.2,1006.1,-5.5,0,0.5,81,193
219,109,114,3600,8.8,1005.8,-5.5,0,0.7,81,200
280,123,126,3700,10.6,1004.6,-5,0,0.9,81,239
324,142,142,3799,12.4,1003.4,-4.7,0,0.8,81,271
315,118,135,3399,13.4,1002.5,-4.3,0,1.2,81,281
284,121,152,3600,13.6,1001.8,-4.1,0,2.3,81,263
347,118,160,3299,13.6,1001.9,-3.7,0,2.2,81,293
352,112,158,3100,13.3,1002.2,-3.9,0,1.6,66,302
342,107,141,2700,12,1002.7,-3.8,0,1.3,60,312
300,110,135,2600,10.6,1003.7,-3.9,0,1.2,39,280
281,104,137,2700,7.1,1004.5,-3.5,0,1.4,37,265
285,107,136,3299,6.2,1004.9,-3.5,0,0.7,37,268
281,136,156,4799,5.5,1004.5,-3.6,0,0.6,37,272
394,118,148,5500,4.7,1004.3,-3.6,0,0.7,35,339
360,113,140,4500,4.5,1004.1,-3.3,0,0.9,30,326
287,98,131,3899,5.3,1004.2,-3.3,0,0.7,30,282
249,77,117,3399,6.2,1004.2,-3.2,0,1.4,22,206
228,80,111,3000,3,1003.8,-3.8,0,0.5,22,227
211,72,105,2899,1.4,1003.6,-4.3,0,1,22,208
200,73,110,3700,1.3,1003.5,-5,0,1.8,22,198
215,67,108,4700,1,1003.7,-5.3,0,1.5,22,201
234,72,102,4400,0.2,1003.6,-5.4,0,1,22,202
206,65,95,4400,4.9,1003.6,-4.4,0,0.1,22,175
180,114,96,5099,7,1003.4,-3.6,0,1.4,22,143
200,92,114,4599,8.9,1003.2,-3.7,0,1,22,140
240,138,150,4200,12.5,1002.1,-5.5,0,1.1,22,169
309,100,111,2299,15,1000.3,-4.9,0,0.8,22,225
183,58,62,1300,16.3,998.4,-4.3,0,1.5,41,174
82,46,53,1100,17.3,996.7,-4.1,0,1.4,65,71
88,53,98,1600,16.6,995.5,-3.5,0,1.2,65,83
133,73,177,2500,16.8,994.7,-3.4,0,1,65,137
230,81,186,2899,16.6,994.1,-3.5,0,0.8,65,207
285,80,163,2799,14.5,993.9,-3.3,0,0.7,65,258
298,77,141,2500,12.5,994.5,-3.4,0,0.5,65,264
247,105,191,3200,11.8,994.7,-3.2,0,0.8,21,241
286,98,199,3399,9.8,994.6,-2.8,0,0.6,65,256
282,96,171,3000,7.9,995.1,-3,0,1.2,65,262
241,82,166,3799,8.1,995.1,-3.4,0,0.9,65,238
261,70,145,3500,6.8,995,-3.2,0,1.3,65,249
238,60,132,3200,5.9,995.3,-3,0,0,65,224
227,68,140,5299,4.4,995.6,-3.2,0,0.8,65,216
292,71,141,6299,4,995.2,-3.5,0,0.6,65,263
328,68,131,5000,4.5,994.7,-3.1,0,1.4,65,290
273,63,125,4700,16.7,994.9,-5.8,0,5.2,65,257
235,57,105,3299,15.4,995.6,-6.2,0,0.7,65,233
211,30,36,700,12.7,996.2,-5.4,0,1.7,65,193
135,44,85,1500,14.9,996.7,-5.5,0,1.3,65,72
159,46,84,1700,11.2,997.8,-4.1,0,1.7,65,79
182,66,87,2399,14.5,997.9,-2.9,0,1.7,65,85
257,59.4048,94.0274,NA,17.3,997.3,-3.5,0,1.4,65,180
264,63,96,2200,19.3,996.7,-3.6,0,2.1,65,207
222,43,76,1700,20.6,995.8,-3.9,0,2.5,67,179
202,37,75,1500,21.9,994.7,-4.3,0,3,77,153
244,40,88,1600,17.6,995,1.5,0,4.5,86,159
653,80,141,4500,14.8,996.1,0.2,0,2.5,107,443
438,83,86,2899,13.1,996.5,-0.2,0,4,107,289
252,73,65,1899,11.7,996.5,-0.5,0,3.4,107,173
213,69,65,1500,10.4,997.4,-1,0,2.7,107,141
182,58,62,1399,9.4,997.3,-0.8,0,2.7,107,112
158,63,67,1300,8.6,997.1,-1.5,0,2.8,107,113
138,62,69,1100,7.6,996.9,-2.4,0,1.8,107,117
118,50,59,1300,6.8,996,-3.2,0,1.3,107,99
132,50,63,1600,5.6,994.5,-3,0,0.7,107,100
133,56,65,1700,4.3,993.1,-3,0,1.2,107,100
103,53,50,1700,3.9,991.9,-2.5,0,0,107,96
132,36,51,1800,3,991.2,-2.7,0,0.7,107,102
128,28,43,1500,2.4,989.8,-2.9,0,1.2,107,107
112,33,40,1399,1.9,988.9,-3,0,0.7,107,97
123,51,73,1700,2,989.2,-3.3,0,0.5,107,104
128,62,87,1700,1.8,989,-3.3,0,0.4,107,106
131,65,83,1899,6,990.5,-2.1,0,2.4,107,104
162,82,91,2200,14.2,992.3,-1.5,0,2.5,107,116
366,86,63,1700,16.8,993.8,-2.3,0,6.2,107,142
579,34,26,900,14.4,996.8,-7.1,0,7.8,107,106
305,8,11,400,12.9,999.1,-11.6,0,5.6,107,28
595,3,4,300,10.7,1001.8,-15.8,0,4.9,107,35
438,3,4,300,9.6,1003.9,-18.5,0,6,107,20
360,3,5,300,10.3,1005.2,-17.9,0,4.5,107,21
260,4,7,300,10.3,1006.3,-17.9,0,5.6,97,22
191,8,8,300,9.2,1008,-18.8,0,7.1,94,9
196,3,7,300,7.7,1010.2,-20,0,5.1,94,13
110,6,9,300,6.6,1013.1,-19.9,0,5.2,94,15
83,17,13,400,5.7,1015.1,-19.8,0,3.3,94,13
64,13,10,300,5,1017,-19.6,0,2.5,94,12
55,18,12,300,4.8,1017.7,-19.7,0,3.3,94,8
29,3,7,400,3.8,1018.1,-19.8,0,1.2,94,14
22,3,8,400,3.4,1018,-20.1,0,1.1,94,8
20,3,10,500,4.4,1017.8,-20.1,0,2,94,12
19,7,14,500,4.9,1018.1,-20.4,0,3,94,13
11,8,15,600,4.5,1017.9,-20,0,3.3,94,10
7,9,24,NA,4.1,1018.1,-20.3,0,2.5,94,3
8,11,24,400,4.7,1018.6,-19.8,0,3,94,3
14,19,19,300,4.3,1018.8,-20.1,0,3.3,94,3
13,22,20,300,3.6,1018.9,-18.6,0,1.2,94,10
18,27,43,500,5.7,1019.8,-19,0,3.3,94,12
46,31,67,1100,8,1019.8,-18.8,0,2.8,94,20
17,14,31,600,9.4,1019.2,-18.7,0,3.2,94,16
10,9,16,400,10.6,1018.4,-16.8,0,2.5,94,6
32,14,25,400,10.4,1018.1,-16.9,0,2,94,12
48,12,24,400,11.3,1017.1,-17.2,0,3.6,94,21
36,11,20,500,12.1,1016,-16.5,0,2.8,94,20
37,12,19,400,11.9,1015.1,-15.7,0,3.7,92,22
45,11,19,400,11.7,1014.7,-15.9,0,4.2,103,27
69,13,22,400,10.9,1014.5,-14.8,0,1.2,103,40
75,30,28,500,9.5,1014.6,-15.1,0,3.2,103,41
82,58,44,500,8.8,1015.1,-13.6,0,1.6,103,47
102,30,44,600,7.2,1015.5,-13.1,0,1.3,103,51
118,29,73,900,5.8,1015.7,-12.8,0,0.8,103,69
118,35,68,1100,4.7,1015.7,-12.3,0,1,103,80
131,42,81,1300,4.2,1015.5,-12.3,0,0,103,95
127,41,73,1300,2.3,1015.4,-12.4,0,0.8,103,93
107,34,53,1100,1.6,1015.2,-11.6,0,0,103,79
89,26,38,1000,0.5,1015,-11.6,0,0.5,103,69
137,36,81,2100,0.1,1014.3,-11.3,0,0.9,103,91
102,34,58,1200,-1.4,1014.1,-10.8,0,0.9,103,78
98,32,59,1300,-2,1014,-10.8,0,1,103,76
141,31,83,2299,-1.8,1013.5,-10.9,0,0.6,103,91
164,37,78,2100,-1.7,1014,-10.3,0,0.6,103,98
109,34,73,1399,-0.2,1014.3,-9.6,0,1.4,103,83
173,53,79,2299,2.7,1014.2,-10.6,0,1,103,114
186,67,82,2100,4.9,1013.7,-9.7,0,0.9,103,120
180,96,85,1800,6.3,1012.9,-8.4,0,2.2,103,125
153,70,66,1399,6.8,1011.7,-8.8,0,1.8,103,117
153,78,70,1500,8.3,1010.4,-9.2,0,0.9,103,129
153,75,74,1399,9,1009.2,-8.1,0,1.2,103,128
181,85,97,1700,9.8,1007.8,-7.9,0,1.4,103,150
170,89,102,1600,10,1007,-7.7,0,1.5,103,152
172,103,105,1500,10,1006.2,-7.7,0,1.8,96,150
173,119,105,1500,9.8,1006.1,-7,0,1.9,75,148
187,131,96,1700,9.7,1006.7,-6.2,0,1.8,72,148
222,160,115,2000,9.5,1006.9,-6.4,0,1.1,47,155
233,164,118,2299,9.4,1007.2,-6.1,0,1.8,47,169
223,146,111,2200,9.4,1006.7,-3.9,0,1.2,47,174
223,115,104,2000,9.2,1006.1,-3.4,0,1.7,47,172
202,84,104,1700,8.8,1005,-4.1,0,2.1,47,159
189,74,102,1600,8.3,1004.4,-4.5,0,1.9,47,150
168,64,94,1500,7.7,1003.7,-4.4,0,1.1,42,132
157,58,84,1600,7.7,1003.7,-4.4,0,0.6,42,123
150,65,82,1500,6.3,1003.2,-1.8,0,0.7,42,121
154,65,82,1600,6.2,1003.1,-1.7,0,0.7,42,130
164,54,84,1899,5.3,1003.2,-0.3,0.2,1.5,42,126
168,56,85,1800,3.4,1003.6,0.8,1.5,0.6,42,124
125,17,82,1800,3.1,1004,1.3,0.3,1.2,42,124
106,16,81,1700,2.7,1003.8,1.1,0.1,1,42,100
106,17,75,1700,3.1,1003.3,1.6,0,0.9,42,122
102,16,74,1700,3.6,1003.6,2,0,0,42,129
137,16,83,2200,3.8,1003.7,1.8,0,1.5,42,119
138,20,81,1899,4.4,1003.9,2.3,0,1.3,42,150
107,35,78,1600,5,1003.9,2.2,0,1.5,34,136
139,45,80,1899,5.3,1004.3,2.8,0,1.6,34,128
167,34,85,2000,6.3,1004.2,3.3,0,2.1,34,156
188,39,88,2299,6.7,1005,3.1,0,1.1,32,180
188,45,96,2299,6.6,1006.2,3.2,0,0,29,210
174,40,95,2200,5.5,1007.9,3.2,0,1.1,10,201
177,72,95,2299,4,1009.6,2.3,0,1.8,8,203
192,33,98,2600,4.6,1011.4,-0.4,0,1.1,8,185
193,51,91,2799,5.6,1012.9,-8.7,0,1.5,8,203
47,42,31,700,5,1014.1,-10,0,2.3,45,47
9,45,16,400,4.3,1015.1,-10.6,0,1.9,68,9
6,37,12,300,3,1016,-11,0,1,74,3
6,12,6,400,2.6,1016.4,-11.7,0,3,79,13
8,7,7,400,2.5,1016.4,-11.8,0,3.6,79,8
6,5,7,300,1.6,1016.8,-10,0,2,80,6
11,13,34,400,2,1017.5,-10.9,0,2.1,80,7
8,19,38,400,0,1018.3,-10.8,0,1.5,80,3
10,17,30,500,0.6,1019.3,-11.5,0,1.2,80,3
8,18,37,600,3.3,1020.7,-14.9,0,1.6,80,3
6,10,22,400,4.5,1021.8,-18.5,0,3.6,80,3
6,9,13,300,5.5,1022,-18.4,0,1.7,80,8
6,16,12,300,6.3,1022,-15.1,0,3.1,81,3
6,6,10,300,7.4,1021.3,-15.4,0,2.1,85,3
6,7,10,300,8.2,1020.2,-16.2,0,1.2,85,3
6,9,11,300,9.2,1019.4,-16.2,0,4.3,85,3
6,8,11,300,9.6,1018.5,-16.7,0,3.7,88,14
9,6,11,300,10,1018.2,-14,0,2.9,90,3
6,8,11,300,8.2,1018.4,-13.5,0,3.4,92,3
22,8,19,300,7.1,1018.9,-13.2,0,2,92,17
24,11,25,400,6.1,1019.6,-13.5,0,2.3,92,17
39,9,35,500,5.3,1020.3,-13.2,0,1.7,92,26
48,16,45,700,4.4,1020.8,-12.6,0,0.7,92,42
49,15,52,700,3.5,1021,-11.3,0,0.8,92,38
58,19,67,800,1.5,1020.8,-10,0,0.8,92,39
64,25,75,1000,1.4,1020.9,-9.3,0,0.8,92,50
64,24,73,1100,2.5,1021.1,-8.8,0,3,92,54
77,31,83,1100,1.4,1021.4,-4.7,0,2.9,92,61
112,31,77,1500,0.6,1021.2,-4.8,0,2.8,92,76
88,23,69,NA,0,1021,-5,0,1.2,92,80
75,21,69,1500,-0.4,1021,-5.6,0,1.7,92,73
66,25,54,1399,-0.8,1021.3,-5.6,0,1.3,92,58
66,28,52,1300,-1.6,1021.4,-5.3,0,1.4,92,56
71,27,56,1399,-0.5,1021.7,-5.1,0,0.9,92,56
88,41,60,1600,1.1,1021.8,-5,0,0.6,92,80
121,58,67,1800,2.1,1021.2,-5.1,0,1,92,98
131,61,66,1800,3.5,1020.2,-4.9,0,1.8,92,112
134,68,61,1500,4.8,1019,-4.8,0,2.2,92,117
111,51,48,1300,5.9,1018.2,-4.6,0,1.5,92,97
115,43,49,1300,6.9,1017.1,-4.2,0,2,92,100
131,43,61,1399,8,1016.1,-3.8,0,3.2,92,110
153,46,81,1500,8.2,1015.2,-4,0,1,92,144
160,53,87,1500,8.3,1014.8,-3.9,0,1.6,86,158
157,64,87,1399,7.8,1014.9,-4,0,1.1,77,152
152,65,91,1399,7.3,1015,-3.9,0,1.6,62,147
169,68,109,1500,6.5,1015.3,-3.5,0,1,50,160
173,75,109,1600,3.9,1015.3,-4.1,0,0,50,162
179,61,108,1800,3.2,1015.3,-4.1,0,0,50,175
161,68,95,1899,3.4,1015.1,-3.9,0,0.8,50,158
146,58,79,1700,1.6,1014.9,-3.9,0,1.4,50,132
142,57,72,1600,0.9,1014.7,-3.8,0,1,50,127
140,49,80,1800,0.2,1014.3,-3.7,0,0.8,50,128
168,42,84,2399,0.1,1013.6,-3.8,0,0.4,50,162
137,40,75,1899,-0.3,1013.3,-3.8,0,1.1,50,136
131,42,68,1500,-0.3,1013.1,-4,0,1,50,130
133,42,71,1600,-0.2,1013.1,-3.7,0,0.8,50,128
132,42,71,1600,-0.3,1012.9,-3.7,0,0.1,50,128
136,42,67,1500,1.6,1013.4,-2.7,0,0.9,50,130
151,55,63,1600,3.9,1013.2,-2.5,0,1,50,132
174,79,75,2100,6.2,1012.6,-2.4,0,1.3,50,145
174,80,75,2700,7.6,1011.7,-2.7,0,0.9,10,145
208,88,87,1899,8.8,1010.8,-2.5,0,2,17,204
192,87,80,1600,10,1009.9,-2.3,0,0.9,33,173
207,86,76,1600,11,1008.7,-2.1,0,0.9,50,176
219,81,75,1600,11.4,1008.1,-2.1,0,1.4,60,196
213,81,70,1500,11.5,1007.6,-2,0,1.6,81,200
240,84,89,1700,11,1007.7,-1.4,0,1.1,81,205
265,88,106,1800,10.6,1008.2,-1.8,0,1.5,81,264
275,80,114,1899,9.7,1008.9,-1.4,0,0.6,81,238
287,82,122,2000,8.5,1009.7,-1.1,0,0.1,81,254
287,77,129,2299,7.3,1010.6,-1.4,0,0.2,81,262
247,62,108,2100,6.6,1011.6,-1.3,0,1.1,81,265
253,60,115,2299,5.6,1012.3,-1.1,0,0.8,81,235
243,57,108,2200,4.6,1012.6,-1.4,0,1,81,236
244,51,105,2100,4.5,1012.7,-1.3,0,0.7,81,234
249,49,114,2399,4.5,1013,-1.3,0,0.1,81,237
252,50,111,2299,3.5,1013.2,-1.5,0,0,81,243
250,44,103,2100,2.4,1014.1,-1.8,0,0.8,81,243
258,30,95,2299,2.3,1014.6,-1.5,0,0.1,81,246
302,41,110,3200,1.9,1015.6,-1.4,0,1.5,81,298
271,41,98,2700,3.2,1016.6,-1.4,0,1.3,81,252
274,30,93,2899,4.4,1017.1,-0.8,0,1.3,81,251
296,55,95,3000,6.6,1017.5,0.1,0,0.8,81,261
282,82,96,2600,10.7,1017.5,0.1,0,0.9,81,262
309,94,109,2600,12.9,1017.1,-0.4,0,1.7,81,270
308,85,112,2299,13.7,1016.1,-2.3,0,2.6,81,280
170,61,63,1500,14.4,1014.9,-1.7,0,1.1,81,209
149,56,58,1600,14.3,1013.8,-2.2,0,2.6,98,148
152,52,62,1600,14.6,1013.1,-1.5,0,2.3,98,144
163,57,57,1700,13.8,1012.3,-1.4,0,4.1,107,147
145,51,50,1600,13.4,1011.5,0.1,0,2.9,107,139
170,70,66,1899,12.4,1011.2,0.8,0,1.9,107,133
194,84,87,2600,12,1010.9,1,0,0.9,107,162
280,139,124,3500,11.4,1011.2,1.1,0,1.4,107,263
313,104,121,4000,10.2,1011.1,2.3,0,1.9,107,301
271,68,110,3100,9.5,1010.6,2.6,0,2.5,107,253
246,55,92,2700,8.4,1009.9,2.2,0,1.6,107,244
246,48,80,2200,7.9,1009.4,1.5,0,0.7,107,280
232,59,61,1800,7.4,1008.8,1,0,0.6,107,236
174,61,54,1800,7.2,1008.4,0.2,0,0.9,107,226
168,61,57,1800,7.2,1006,0.4,0,2.8,107,218
163,65,62,1700,6.8,1005.7,0.2,0,0.6,107,212
159,68,76,1800,5.9,1005,1,0,0.9,107,208
167,59,73,1800,5.3,1004.5,1,0,0.4,107,210
180,57,84,1899,4.1,1003.3,0.8,0,0.7,107,180
164,53,98,2000,5.8,1002.7,1.1,0,0.5,107,216
200,60,91,2200,7.3,1002.3,0.9,0,1.2,107,176
218,82,91,2299,8.4,1001.6,0.8,0,1.5,107,195
241,92,89,2399,10.1,1000.3,1.5,0,0.8,107,207
270,93,88,2399,11.9,998.8,1.8,0,1.9,107,269
299,89,90,2399,13,996.9,1.9,0,1.9,107,249
328,94,104,2600,14.3,995.2,2.2,0,2.5,107,278
357,96,129,2899,14.6,994.3,2.5,0,0.8,107,308
377,85,148,3000,15.1,993.5,2.6,0,1.3,107,374
376,82,161,3000,14.7,992.9,2.6,0,0.8,103,330
378,80,150,2899,13.9,993,2.8,0,0,77,340
372,74,148,3000,11.9,992.8,3.1,0,0.8,77,349
375,68,167,3100,10,993.3,2.6,0,0.6,55,350
412,63,195,3700,9.1,993.4,2.2,0,0.6,77,368
363,55,157,3500,9,993.4,2.3,0,0.4,77,403
349,52,138,3299,7.5,993,2,0,1,77,394
339,48,127,3200,8.1,993.4,1.7,0,1.5,77,338
339,44,115,3100,12.2,993.8,-9.5,0,3.7,77,379
327,18,35,1100,11.7,994.3,-8.8,0,4.7,77,170
99,19,5,300,10.3,994.5,-9.4,0,3.6,84,25
67,4,10,NA,10.2,994.8,-11.2,0,6.8,84,19
58,4,10,300,8.1,995.5,-8,0,5.1,84,20
111,5,11,300,7,997.2,-8.6,0,2.7,84,16
21,11,12,300,5.7,999,-12.4,0,3.6,84,3
21,3,9,300,6.2,1000.1,-14.6,0,3.1,85,8
6,3,9,200,7.6,1000.9,-17.5,0,4.6,85,6
6,3,8,200,8.4,1000.8,-18.5,0,2.8,87,3
6,3,8,200,9.4,1001.2,-17.7,0,1.7,92,3
6,3,10,200,10.2,1000.9,-16.2,0,2.7,92,6
6,3,8,200,11.4,1000,-16.1,0,5.4,93,7
6,4,10,300,11.8,998.5,-16.8,0,4.1,94,3
6,5,13,300,12.6,997.2,-16.1,0,2,94,14
6,6,11,300,12.2,996.3,-15.5,0,1.4,95,14
6,6,11,200,11.4,996.1,-15.2,0,3.9,97,14
6,4,20,300,10.3,996.4,-16.1,0,4.3,88,3
20,6,31,400,8.8,997.3,-5.1,0,4.4,76,18
186,8,34,400,6.7,998.8,-3.8,0,4.7,75,34
198,21,44,800,5.4,1000,-4.2,0,4.5,52,58
99,14,33,600,4.6,1000.5,-4.4,0,2.5,57,44
73,12,33,700,3.4,1001.1,-4.6,0,3.6,51,45
73,12,33,800,2.5,1002.4,-4.3,0,2.7,43,45
59,11,37,800,0.7,1003,-2,0.1,2.2,44,41
46,10,34,700,-0.1,1003.1,-1.5,0.4,2.7,44,36
53,4,30,600,-0.3,1002.5,-1.9,0,2.5,43,28
13,3,26,600,-0.5,1003,-2.2,0,2.1,36,11
6,3,25,500,-0.2,1002.7,-2.6,0,1,35,30
4,3,25,500,-0.2,1002.7,-2.4,0,0.7,40,36
6,3,21,500,0.2,1003.4,-2.5,0,0.7,39,30
